Name,Time,Iterations,O_len,W_len,W_len_less,F_Best,F_LB
AiyoshiShimizu1984Ex2,10.193746979,6593,0,10917,0,5.0,-52.5
AllendeStill2013,10.000948667,5630,0,9835,0,1.0,-0.125
Bard1988Ex1,10.15733608,26615,6619,7890,0,17.0,16.872130706559762
Bard1988Ex3,10.000126962,5273,0,8755,0,-12.68,-48.125
Bard1991Ex1,10.177398092,14555,0,6703,0,2.0,2.0
BardBook1998,10.021306958,6259,0,7969,0,0.0,-0.0
CalamaiVicente1994a,0.29068938,7647,1613,0,0,0.0,-0.0
ClarkWesterberg1990a,0.372241702,6562,775,0,0,5.0,4.904727935791016
Colson2002BIPA1,10.000264335,19069,34,35852,0,250.0,227.996826171875
Colson2002BIPA2,10.000215166,32916,52,30377,0,17.0,16.411758422851562
